Sorteo,numero 1,numero 2,numero 3,numero 4,numero 5
302,47,9,28,5,43
303,33,15,13,5,8
304,25,30,19,18,44
305,41,43,44,46,20
306,49,30,35,32,14
307,4,17,5,34,14
308,22,24,27,36,9
309,,,,,
310,44,5,14,4,46
311,49,50,26,29,11
312,4,44,27,22,36
313,39,43,30,17,9
314,46,38,34,35,39
315,5,45,1,38,18
316,37,12,38,31,43
317,42,11,29,7,18
318,19,18,49,12,43
319,46,1,26,36,33
320,38,28,30,39,10
321,18,37,8,16,43
322,26,18,12,24,45
323,44,23,24,21,7
324,17,11,26,40,9
325,46,3,7,8,43
326,6,36,22,25,24
327,15,21,6,3,32
328,17,31,43,47,1
329,38,19,50,7,30
330,9,31,32,33,4
331,34,42,17,40,4
332,44,2,36,22,24
333,2,29,31,38,32
334,18,1,8,28,31
335,46,41,36,13,12
336,37,9,49,24,39
337,49,46,45,39,38
338,4,13,37,35,46
339,39,11,3,4,28
340,42,28,13,29,25
341,15,9,47,21,4
342,27,31,5,42,40
343,13,6,30,1,49
344,24,49,47,26,13
345,35,41,21,45,17
346,50,27,38,17,29
347,1,16,48,4,40
348,4,27,6,48,1
349,46,35,39,30,9
350,38,31,2,36,43
351,39,5,11,9,4
352,32,22,16,42,20
353,21,23,33,50,40
354,23,47,7,19,29
355,36,12,15,45,32
356,9,41,36,49,28
357,28,32,46,8,19
358,46,2,10,3,33
359,3,35,29,42,20
360,46,19,42,36,38
361,2,24,43,38,34
362,32,22,1,48,50
363,44,2,24,14,39
364,21,11,13,3,18
365,41,24,23,42,13
366,47,35,11,2,24
367,15,14,12,19,23
368,45,3,49,15,2
369,42,45,13,48,12
370,28,41,25,11,27
371,17,24,37,19,46
372,50,13,26,1,20
373,12,21,6,33,27
374,17,33,22,21,4
375,21,47,23,38,50
376,4,41,6,21,39
377,22,45,48,11,36
378,38,40,25,15,41
379,28,16,20,22,11
380,28,3,45,10,15
381,17,47,11,36,9
382,37,20,21,45,46
383,42,25,10,20,14
384,16,23,24,29,26
385,28,9,49,25,17
386,22,9,10,50,1
387,49,40,50,39,4
388,25,38,40,6,36
389,37,20,3,48,19
390,41,19,48,5,12
391,11,22,21,16,44
392,49,50,20,17,35
393,41,20,5,30,16
394,16,15,44,30,50
395,11,23,31,8,46
396,28,47,29,11,49
397,12,13,40,49,23
398,19,17,42,45,38
399,26,6,33,39,34
400,16,3,25,35,26
401,4,50,15,49,23
402,5,1,25,48,22
403,37,38,19,27,12
404,8,33,14,24,5
405,34,32,18,14,13
406,36,24,34,7,23
407,7,20,37,10,27
408,45,18,1,13,17
409,16,6,31,28,14
410,42,50,6,14,4
411,25,45,22,33,12
412,46,8,2,10,19
413,37,12,26,38,44
414,42,35,50,48,47
415,21,5,34,31,28
416,28,32,49,9,30
417,39,2,42,17,8
418,25,38,19,9,36
419,6,33,48,14,34
420,28,18,40,27,35
421,28,15,44,31,5
422,14,16,23,45,38
423,42,34,18,38,26
424,12,16,4,1,48
425,47,23,12,29,32
426,46,18,37,48,23
427,37,19,2,33,46
428,39,28,22,12,27
429,39,16,20,17,50
430,20,45,23,14,46
431,11,14,41,43,50
432,40,15,4,29,1
433,30,18,1,4,23
434,47,17,22,6,45
435,39,44,24,4,12
436,16,40,38,24,18
437,16,40,38,24,18
438,25,50,11,45,41
439,27,40,7,43,30
440,34,21,20,38,19
441,21,12,47,44,29
442,12,37,18,33,7
443,10,2,23,31,5
444,14,48,1,9,12
445,7,21,22,24,28
446,26,21,25,19,44
447,36,44,43,16,50
448,42,30,45,3,49
449,1,6,10,31,12
450,9,4,30,10,40
451,39,13,21,14,27
452,12,44,22,30,31
453,10,28,27,2,22
454,1,20,6,2,36
455,10,19,44,13,39
456,43,34,38,9,45
457,16,20,19,25,28
458,15,3,17,33,28
459,3,14,31,41,8
460,36,14,42,46,27
461,11,4,47,28,38
462,11,24,14,25,29
463,3,7,12,26,34
464,10,48,1,17,33
465,44,5,11,6,30
466,23,47,27,37,24
467,39,36,32,47,3
468,47,1,25,10,43
469,12,4,50,3,23
470,28,30,15,16,46
471,50,15,9,23,31
472,29,36,27,34,24
473,46,17,23,4,36
474,1,8,18,25,30
475,11,35,45,20,30
476,37,27,22,25,36
477,8,39,43,13,26
478,10,28,49,48,33
479,32,41,29,3,6
480,8,24,48,43,9
481,36,43,30,27,20
482,4,15,41,5,19
483,26,41,40,39,3
484,3,34,48,38,21
485,1,17,13,44,38
486,13,2,50,11,26
487,29,50,43,47,13
488,31,32,41,16,37
489,35,12,22,49,46
490,28,17,25,15,8
491,26,2,36,14,4
492,13,49,37,47,34
493,11,22,5,34,40
494,30,26,48,15,8
495,48,38,27,22,10
496,17,20,50,7,35
497,18,14,19,43,49
498,11,22,35,20,1
499,14,17,28,39,29
500,22,7,2,40,27
501,40,42,38,31,32
502,37,1,24,16,3
503,18,46,35,25,8
504,24,2,43,7,46
505,19,23,10,45,49
506,18,25,4,16,44
507,15,48,14,23,21
508,35,39,4,36,29
509,34,35,42,24,46
510,20,50,34,46,27
511,50,21,17,48,11
512,45,16,42,1,38
513,19,25,33,44,28
514,17,5,38,4,48
515,6,5,19,37,12
516,1,26,25,44,18
517,31,28,16,48,33
518,18,39,17,44,11
519,15,35,13,30,42
520,15,6,37,22,44
521,27,10,44,23,3
522,38,7,39,44,6
523,41,4,34,43,19
524,48,25,27,49,7
525,20,23,26,30,33
526,16,42,21,36,4
527,19,16,18,21,9
528,23,8,10,25,2
529,35,7,17,43,6
530,41,10,40,49,32
531,16,40,44,37,29
532,1,35,38,50,28
533,9,5,6,38,27
534,23,44,25,24,31
535,6,10,3,44,11
536,35,25,20,41,7
537,47,28,14,21,22
538,29,11,21,24,16
539,15,19,41,23,10
540,42,28,45,30,49
541,11,20,40,9,1
542,49,44,6,10,23
543,18,23,40,24,10
544,29,5,28,44,10
545,10,18,31,42,16
546,50,4,9,1,43
547,40,29,11,43,10
548,35,14,44,18,20
549,40,5,3,42,22
550,14,20,32,23,18
551,26,49,27,24,17
552,36,49,2,7,8
553,4,10,27,22,41
554,22,26,47,2,20
555,37,22,29,4,41
556,47,42,22,40,38
557,39,26,27,30,4
558,45,10,48,1,44
559,3,10,37,18,31
560,9,16,36,26,39
561,37,5,34,38,21
562,25,6,45,40,31
563,14,44,11,34,9
564,28,25,5,11,16
565,2,4,42,28,22
566,28,30,44,12,15
567,15,37,36,16,28
568,12,13,17,3,30
569,1,11,36,29,42
570,33,31,19,8,39
571,20,42,23,28,3
572,50,4,10,2,22
573,24,14,39,4,21
574,44,32,19,37,35
575,27,32,12,34,49
576,44,30,26,42,4
577,44,30,46,43,13
578,17,12,41,29,25
579,32,1,17,39,11
580,15,44,48,38,35
581,28,45,15,5,10
582,33,50,22,1,11
583,1,46,8,42,48
584,50,4,1,7,10
585,40,38,16,24,11
586,13,50,40,43,36
587,5,49,34,3,40
588,43,27,13,28,42
589,48,35,45,1,32
590,24,7,8,36,27
591,25,24,50,6,20
592,29,19,8,28,7
593,22,17,40,7,27
594,34,38,13,8,26
595,29,43,28,34,27
596,34,33,40,31,37
597,14,26,45,50,7
598,7,9,25,5,41
599,41,25,48,10,47
600,24,33,17,41,44
601,30,11,36,45,10
602,4,13,35,27,5
603,15,1,47,28,35
604,14,13,11,28,30
605,28,4,33,12,15
606,18,16,38,49,31
607,26,42,33,18,32
608,50,34,47,19,23
609,24,35,13,26,16
610,19,14,44,16,15
611,23,38,29,12,49
612,3,14,4,11,43
613,42,36,48,37,21
614,17,47,16,49,31
615,24,4,23,7,9
616,5,20,47,17,50
617,39,20,24,37,27
618,42,11,50,49,5
619,30,37,26,6,1
620,7,40,38,43,30
621,45,25,17,36,2
622,5,18,16,42,9
623,25,11,32,23,37
624,7,28,30,14,11
625,14,27,6,4,33
626,44,17,21,42,13
627,5,11,38,35,45
628,43,20,10,28,26
629,41,15,11,38,43
630,19,44,48,25,23
631,50,35,6,24,20
632,23,24,33,42,26
633,6,17,23,12,43
634,39,18,27,43,47
635,25,36,47,46,5
636,39,33,29,44,41
637,2,31,38,3,10
638,32,9,10,30,37
639,19,33,29,30,7
640,35,38,12,13,6
641,35,20,42,43,28
642,29,48,40,37,14
643,13,42,3,15,29
644,45,14,19,36,15
645,40,26,13,25,50
646,44,27,23,42,19
647,10,23,7,2,43
648,32,6,29,15,13
649,18,31,36,2,1
650,49,50,24,6,35
651,24,22,23,1,31
652,41,6,8,37,27
653,13,22,17,43,12
654,5,31,43,50,19
655,1,22,6,13,28
656,29,45,24,20,13
657,3,44,27,38,31
658,2,45,20,27,33
659,1,27,2,11,29
660,25,18,20,26,37
661,26,19,33,42,32
662,4,42,35,48,12
663,19,41,35,34,5
664,18,23,48,20,42
665,10,15,31,8,16
666,37,1,33,21,38
667,17,19,47,3,46
668,47,25,8,17,41
669,19,39,4,2,6
670,36,37,26,23,49
671,28,13,17,30,32
672,42,21,25,28,35
673,38,44,32,12,43
674,3,22,5,27,44
675,38,10,40,5,41
676,1,4,44,33,23
677,30,24,6,27,25
678,27,36,34,8,39
679,37,7,39,30,42
680,28,50,26,7,20
681,3,43,19,28,4
682,44,38,18,16,26
683,50,45,28,6,10
684,42,11,29,18,49
685,8,33,30,12,19
686,14,50,47,26,3
687,21,47,31,39,24
688,20,46,15,24,13
689,13,49,44,21,24
690,35,26,18,23,44
691,30,42,4,31,38
692,37,5,19,31,24
693,45,28,3,26,21
694,47,34,13,30,4
695,26,23,37,29,40
696,38,5,36,33,47
697,31,3,47,8,34
698,16,13,26,25,7
699,27,41,24,45,5
700,2,39,32,15,44
701,34,40,25,7,49
702,12,18,21,33,32
703,16,22,28,46,18
704,48,13,37,40,11
705,5,38,49,15,25
706,20,1,7,21,48
707,39,34,45,33,31
708,39,25,18,22,27
709,47,18,43,39,4
710,24,18,22,8,27
711,38,35,5,49,22
712,18,27,15,34,20
713,1,41,43,11,29
714,1,43,50,45,24
715,10,24,9,12,43
716,40,23,35,10,43
717,50,44,46,48,24
718,5,21,42,7,19
719,29,21,35,46,43
720,22,19,7,16,33
721,4,21,30,5,23
722,11,34,47,4,7
723,29,17,49,35,4
724,36,48,45,10,22
725,32,38,26,9,2
726,39,45,25,31,5
727,18,50,23,46,1
728,15,35,19,8,24
729,31,9,33,26,13
730,4,30,35,50,29
731,6,34,8,38,48
732,13,35,14,29,12
733,46,35,47,13,27
734,33,13,15,3,42
735,13,23,50,48,4
736,38,30,21,9,28
737,29,42,47,45,6
738,15,23,32,4,5
739,49,13,48,1,40
740,40,33,27,20,21
741,42,20,3,30,9
742,45,17,40,10,15
743,10,41,13,20,33
744,1,13,6,26,17
745,32,13,38,46,25
746,46,14,36,2,21
747,36,32,38,48,17
748,3,2,36,38,17
749,28,32,7,37,4
750,32,7,36,3,25
751,10,23,6,41,15
752,15,25,3,49,44
753,5,8,48,47,37
754,31,1,3,42,46
755,28,2,15,31,37
756,13,7,3,25,12
757,39,44,23,29,31
758,49,25,9,19,8
759,26,45,27,49,17
760,6,18,39,50,44
761,24,25,49,28,22
762,20,38,30,14,49
763,6,32,45,21,24
764,34,31,21,8,17
765,34,32,29,30,46
766,33,47,15,41,44
767,30,45,29,38,6
768,10,33,5,31,40
769,9,24,15,13,19
770,50,44,17,31,33
771,50,30,10,26,39
772,30,45,20,13,17
773,24,12,39,44,42
774,5,2,18,43,30
775,37,46,10,4,14
776,3,28,25,34,50
777,17,25,14,5,47
778,6,21,13,8,11
779,47,30,49,50,23
780,31,30,2,6,23
781,4,5,22,18,23
782,11,23,44,38,26
783,3,14,42,48,37
784,40,10,39,24,26
785,30,39,32,44,2
786,8,28,20,24,49
787,39,37,49,29,27
788,39,25,50,44,18
789,25,43,22,23,30
790,49,34,32,24,35
791,39,2,34,24,30
792,14,42,17,6,45
793,31,5,40,29,19
794,36,24,28,26,45
795,19,26,20,25,3
796,1,17,10,42,20
797,14,19,49,7,47
798,29,30,14,46,40
799,47,42,44,5,35
800,35,37,31,26,30
801,18,44,35,24,45
802,6,24,7,21,5
803,4,20,48,45,3
804,23,7,41,29,37
805,8,7,2,48,45
806,5,34,17,9,32
807,11,10,37,5,8
808,15,10,36,16,37
809,7,14,20,31,42
810,16,38,4,22,49
811,10,19,6,3,24
812,11,28,15,34,37
813,11,18,44,15,12
814,7,41,33,18,6
815,35,8,15,5,41
816,34,18,36,19,6
817,21,48,22,1,43
818,14,29,44,27,20
819,21,46,2,9,35
820,36,23,49,43,32
821,34,21,16,50,40
822,50,15,39,10,45
823,1,5,21,44,39
824,2,16,3,15,8
825,45,4,44,7,39
826,7,10,19,12,11
827,47,4,16,18,43
828,31,33,50,27,42
829,11,34,30,29,31
830,6,27,45,19,21
831,27,8,45,9,50
832,42,14,40,39,16
833,19,50,10,29,18
834,44,8,15,17,49
835,39,34,33,7,29
836,27,14,23,29,26
837,14,37,30,13,23
838,14,49,26,11,29
839,21,35,7,32,18
840,22,32,29,11,20
841,43,42,47,40,1
842,26,15,12,47,29
843,28,43,7,48,29
844,21,19,30,45,17
845,25,7,32,39,30
846,11,20,25,36,12
847,34,13,17,8,21
848,39,27,49,8,46
849,26,40,38,17,3
850,43,39,13,6,18
851,33,10,18,40,17
852,6,37,23,38,7
853,34,49,30,46,4
854,26,14,17,9,16
855,50,16,30,37,29
856,35,15,45,25,2
857,17,27,18,39,8
858,48,29,12,38,17
859,43,5,21,3,40
860,11,27,35,8,23
861,22,6,26,29,48
862,19,41,18,40,20
863,10,27,40,3,25
864,5,36,32,31,20
865,44,37,38,39,4
866,36,10,6,39,31
867,35,33,26,40,5
868,2,10,30,44,1
869,43,38,19,10,46
870,2,30,38,43,46
871,27,10,30,47,12
872,15,40,24,48,38
873,29,32,23,1,5
874,36,21,10,6,9
875,46,32,27,3,41
876,9,6,13,28,37
877,31,49,28,20,3
878,3,22,50,10,37
879,32,13,14,39,30
880,42,32,23,25,37
881,13,50,5,33,15
882,37,7,28,13,4
883,9,23,40,16,14
884,9,14,23,8,1
885,26,43,1,21,40
886,7,10,5,44,34
887,14,49,21,19,24
888,15,49,12,26,42
889,43,36,12,42,19
890,4,25,19,36,1
891,23,25,2,49,16
892,3,19,40,9,5
893,43,8,49,6,26
894,9,1,5,22,38
895,13,32,37,14,48
896,27,14,44,15,11
897,32,43,26,34,17
898,10,42,17,32,31
899,4,25,28,5,43
900,23,34,8,24,38
901,45,48,40,34,32
902,40,2,26,27,49
903,31,28,42,15,7
904,32,27,39,36,15
905,41,9,30,14,45
906,37,17,34,16,23
907,46,27,13,43,25
908,6,30,26,48,12
909,7,31,39,23,33
910,26,49,19,45,35
911,21,35,42,14,43
912,13,50,42,39,34
913,43,1,18,27,7
914,32,35,17,49,5
915,11,19,39,28,27
916,43,37,32,26,49
917,11,50,13,40,2
918,38,29,10,48,1
919,12,18,8,44,33
920,26,3,41,33,7
921,2,11,14,13,21
922,24,37,19,28,36
923,26,45,24,7,37
924,13,49,10,45,3
925,40,26,50,1,21
926,27,46,38,2,8
927,19,16,24,37,35
928,19,43,44,12,45
929,15,50,36,2,28
930,34,37,46,26,2
931,22,6,5,25,34
932,2,31,45,37,23
933,48,9,30,28,1
934,29,42,13,16,35
935,50,40,16,32,8
936,45,12,34,24,30
937,28,4,11,17,15
938,44,16,4,7,35
939,32,5,22,8,14
940,45,41,4,1,10
941,14,39,42,49,16
942,41,6,13,39,9
943,35,44,17,37,43
944,4,38,7,14,34
945,12,30,27,20,2
946,12,37,20,24,5
947,31,34,19,7,13
948,2,25,17,21,27
949,48,9,23,20,44
950,28,15,21,3,20
951,23,43,10,19,16
952,10,20,6,37,29
953,7,11,12,48,44
954,49,47,9,50,5
955,38,49,3,22,23
956,42,7,15,36,48
957,32,27,12,47,3
958,47,10,5,33,34
959,28,23,5,11,17
960,38,27,21,28,26
961,23,32,6,11,31
962,27,1,7,11,45
963,6,40,37,28,12
964,28,50,48,29,14
965,45,10,6,30,41
966,15,27,13,21,17
967,46,39,16,20,4
968,32,22,39,25,3
969,10,22,29,47,8
970,34,27,49,23,19
971,21,14,49,10,18
972,44,29,35,11,2
973,16,7,50,3,26
974,43,4,25,16,47
975,17,10,27,49,31
976,5,1,23,17,7
977,28,45,20,17,48
978,4,17,44,23,3
979,3,4,50,46,15
980,44,38,4,31,10
981,43,26,7,35,21
982,44,40,24,2,10
983,25,19,33,36,48
984,19,41,49,13,45
985,13,2,43,22,4
986,35,31,10,42,20
987,47,2,11,29,30
988,6,37,50,41,48
989,38,49,31,47,36
990,21,5,44,36,3
991,19,29,36,6,10
992,47,23,20,44,1
993,2,21,17,27,34
994,33,13,46,9,31
995,24,26,45,17,28
996,24,33,9,1,34
997,35,10,2,50,19
998,22,5,31,49,21
999,33,20,4,14,23
1000,22,17,45,38,31
1001,2,13,22,49,16
1002,11,9,32,19,43
1003,20,25,30,39,14
1004,27,25,19,6,23
1005,7,43,30,3,35
1006,26,22,16,12,8
1007,2,28,29,44,20
1008,20,8,30,11,15
1009,30,12,9,19,11
1010,15,8,42,25,27
1011,36,5,39,7,26
1012,27,48,38,12,7
1013,8,42,33,24,10
1014,25,40,20,22,37
1015,9,20,27,39,43
1016,12,3,22,27,49
1017,38,42,15,17,41
1018,44,43,11,18,26
1019,4,31,21,3,38
1020,45,17,21,9,28
1021,35,50,39,17,47
1022,22,25,10,37,49
1023,45,37,20,35,11
1024,50,26,42,22,14
1025,21,14,20,47,11
1026,41,27,1,45,25
1027,8,1,26,49,9
1028,14,44,43,48,12
1029,41,9,31,5,29
1030,29,24,21,30,14
1031,29,30,41,40,36
1032,26,15,40,25,41
1033,39,48,28,46,18
1034,14,30,46,10,35
1035,39,42,24,45,2
1036,10,12,17,3,27
1037,15,7,1,47,5
1038,4,12,32,15,38
1039,8,7,3,14,49
1040,28,18,29,6,9
1041,42,47,24,49,9
1042,35,17,29,10,27
1043,44,49,13,18,37
1044,45,21,1,8,30
1045,6,31,39,42,11
1046,40,29,1,48,41
1047,18,32,7,48,19
1048,32,6,50,24,48
1049,15,1,9,25,19
1050,36,4,37,21,34
1051,23,37,50,29,45
1052,19,26,17,13,36
1053,4,27,23,30,17
1054,27,9,33,13,11
1055,39,23,16,32,3
1056,46,12,43,36,1
1057,41,5,33,17,12
1058,37,19,41,20,7
1059,37,36,29,22,13
1060,16,40,39,41,14
1061,35,36,26,42,20
1062,31,28,10,2,14
1063,28,24,50,19,30
1064,42,1,12,6,18
1065,5,46,29,35,24
1066,48,11,44,43,36
1067,34,32,22,30,4
1068,39,20,37,50,44
1069,25,42,30,50,31
1070,15,38,46,8,30
1071,5,30,24,31,43
1072,30,4,17,44,43
1073,4,48,8,22,23
1074,20,10,21,48,28
1075,41,38,20,5,2
1076,6,49,38,12,15
1077,45,30,21,13,23
1078,46,34,31,20,23
1079,44,3,17,50,8
1080,5,23,8,9,24
1081,28,15,24,48,6
1082,11,15,35,27,21
1083,36,39,34,14,48
1084,8,28,17,38,34
1085,38,22,31,44,36
1086,13,44,10,21,17
1087,23,32,50,12,10
1088,6,25,14,19,29
1089,18,17,28,47,10
1090,48,31,3,41,50
1091,2,7,34,48,45
1092,26,44,20,31,15
1093,44,9,14,21,32
1094,11,9,13,33,49
1095,31,4,27,24,17
1096,44,39,29,26,37
1097,46,5,50,7,11
1098,46,40,20,23,17
1099,35,47,28,17,12
1100,43,3,40,16,8
1101,45,47,29,33,1
1102,48,14,39,46,27
1103,48,50,34,25,5
1104,39,15,33,27,50
1105,44,39,3,25,16
1106,28,44,30,23,20
1107,24,40,12,41,46
1108,48,42,15,17,6
1109,23,6,12,45,39
1110,17,35,25,39,44
1111,22,34,3,50,49
1112,20,16,4,31,39
1113,8,31,5,10,13
1114,48,11,1,37,41
1115,13,16,15,41,28
1116,20,43,6,38,11
1117,29,17,40,24,18
1118,39,46,9,22,15
1119,43,46,8,32,19
1120,7,21,23,36,38
1121,26,23,49,33,38
1122,26,7,19,50,42
1123,44,39,41,14,25
1124,20,34,16,15,50
1125,15,21,40,23,48
1126,15,29,12,48,1
1127,30,8,48,33,38
1128,3,33,26,8,45
1129,49,14,4,1,21
1130,4,50,6,27,48
1131,15,2,43,40,46
1132,40,23,2,4,39
1133,17,23,11,22,41
1134,25,34,20,42,45
1135,26,38,36,43,7
1136,30,29,28,36,16
1137,43,44,20,18,36
1138,31,1,15,25,18
1139,18,24,2,43,15
1140,43,16,49,23,42
1141,31,36,50,14,3
1142,42,46,4,16,32
1143,4,42,30,38,31
1144,47,5,28,30,14
1145,50,31,27,4,23
1146,32,18,9,38,46
1147,45,40,33,1,3
1148,10,32,45,8,3
1149,5,7,37,25,21
